name,year_founded,industry,locality,country,current_employee_estimate
minneapolis public schools,,education management,"minneapolis, minnesota, united states",united states,3948
bouygues telecom,1994,telecommunications,"meudon, ile-de-france, france",france,3948
kronos,1977,computer software,"chelmsford, massachusetts, united states",united states,3947
cna insurance,1897,insurance,"chicago, illinois, united states",united states,3946
northshore university healthsystem,1891,hospital & health care,"evanston, illinois, united states",united states,3945
punjab national bank,1894,banking,"new delhi, delhi, india",india,3942
exelon,2000,utilities,"chicago, illinois, united states",united states,3941
big lots,1967,retail,"columbus, ohio, united states",united states,3941
none none none,2012,internet,,,3941
vinci energies,2003,information technology and services,"montesson, ile-de-france, france",france,3941
néant,,publishing,,,3939
general dynamics mission systems,1952,defense & space,"scottsdale, arizona, united states",united states,3937
ashok leyland,1948,automotive,"chennai, tamil nadu, india",india,3935
bestseller,1975,apparel & fashion,"brande, midtjylland, denmark",denmark,3934
downer,1933,civil engineering,"ryde, new south wales, australia",australia,3934
air new zealand,1940,airlines/aviation,"auckland, auckland, new zealand",new zealand,3931
stop & shop,1914,retail,"quincy, massachusetts, united states",united states,3931
berkshire hathaway homeservices california properties,,real estate,"san diego, california, united states",united states,3927
pwc australia,2010,accounting,"sydney, new south wales, australia",australia,3924
saint louis university,,higher education,"st. louis, missouri, united states",united states,3924
nga human resources,1969,human resources,"hemel hempstead, hertford, united kingdom",united kingdom,3923
hpcl,1974,oil & energy,,united states,3920
king abdulaziz university,1967,higher education,"jeddah, makkah, saudi arabia",saudi arabia,3919
sse plc,1998,utilities,"perth county, perth and kinross, united kingdom",united kingdom,3919
uti worldwide,1926,logistics and supply chain,"long beach, california, united states",united states,3918
circle k,1951,consumer goods,"laval, quebec, canada",canada,3912
not applicable at this time,,management consulting,,,3911
metropolitan police,1829,law enforcement,"london, greater london, united kingdom",united kingdom,3910
saab,1937,defense & space,"ase, vasternorrlands lan, sweden",sweden,3908
leiden university medical center,,hospital & health care,"leiden, south holland, netherlands",netherlands,3907
yale university,,higher education,"new haven, connecticut, united states",united states,3904
oxford university press,,publishing,"oxford, oxfordshire, united kingdom",united kingdom,3902
u.s. geological survey (usgs),1879,research,"reston, virginia, united states",united states,3900
telekom malaysia,1984,telecommunications,"kuala lumpur, kuala lumpur, malaysia",malaysia,3897
northside hospital,1970,hospital & health care,"atlanta, georgia, united states",united states,3897
pier 1 imports,1962,retail,"fort worth, texas, united states",united states,3896
ims health,1954,information technology and services,"danbury, connecticut, united states",united states,3895
free,,arts and crafts,,,3895
u.s. department of labor,1913,government administration,"washington, district of columbia, united states",united states,3893
interserve,,facilities services,"berks, west berkshire, united kingdom",united kingdom,3893
iqor,1957,outsourcing/offshoring,"st. petersburg, florida, united states",united states,3890
sofitel luxury hotels and resorts,1964,hospitality,"paris, île-de-france, france",france,3889
china pacific insurance company,1991,insurance,"shanghai, shanghai, china",china,3889
barclaycard,1966,financial services,"london, greater london, united kingdom",united kingdom,3887
mediatek,1997,semiconductors,"cranbury, new jersey, united states",united states,3887
zumba,2001,"health, wellness and fitness","hallandale, florida, united states",united states,3886
zebra technologies,1969,computer hardware,"lincolnshire, illinois, united states",united states,3885
noaa: national oceanic & atmospheric administration,1807,government administration,"washington, district of columbia, united states",united states,3884
alti bvba,,mechanical or industrial engineering,"waalwijk, noord-brabant, netherlands",netherlands,3884
gap inc./ banana republic,,retail,"san francisco, california, united states",united states,3882
mc kraft,,paper & forest products,,,3882
best western international,1946,hospitality,"phoenix, arizona, united states",united states,3882
international rescue committee,1933,non-profit organization management,"new york, new york, united states",united states,3881
georgia state university,,education management,,,3880
university of exeter,1955,higher education,"exeter, devon, united kingdom",united kingdom,3879
arla foods,1881,dairy,"viby, sjelland, denmark",denmark,3877
sita,,information technology and services,"cointrin, geneva, switzerland",switzerland,3874
san jose state university,1857,higher education,"san jose, california, united states",united states,3874
belcorp,1968,cosmetics,"lima, lima region, peru",peru,3872
nasa jet propulsion laboratory,1936,defense & space,"pasadena, california, united states",united states,3871
u.s. customs and border protection,2003,government administration,"washington, district of columbia, united states",united states,3871
tafe nsw,1833,education management,"darlinghurst, new south wales, australia",australia,3869
cybage,1995,information technology and services,"pune, maharashtra, india",india,3868
ontario power generation,1999,utilities,"toronto, ontario, canada",canada,3867
tns,1997,market research,"london, greater london, united kingdom",united kingdom,3865
lehigh valley health network,1899,hospital & health care,"allentown, pennsylvania, united states",united states,3861
anytime fitness,2001,"health, wellness and fitness","hastings, minnesota, united states",united states,3859
bio-rad laboratories,1952,biotechnology,"hercules, california, united states",united states,3854
zs associates,1983,management consulting,"evanston, illinois, united states",united states,3854
o-i,1903,"glass, ceramics & concrete","perrysburg, ohio, united states",united states,3854
sa health,,hospital & health care,"adelaide, south australia, australia",australia,3854
city of edmonton,,government administration,"edmonton, alberta, canada",canada,3851
konecranes,1994,machinery,"hyvinkaa, southern finland, finland",finland,3845
uppsala university,,higher education,,sweden,3845
the hershey company,1894,consumer goods,"hershey, pennsylvania, united states",united states,3838
fod financiën - spf finances,1830,government administration,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,3838
ufrgs,,higher education,"califórnia, parana, brazil",brazil,3836
defense logistics agency,1961,military,"fort belvoir, virginia, united states",united states,3835
texas state university,1899,higher education,"san marcos, texas, united states",united states,3834
university of arkansas for medical sciences,1879,hospital & health care,"little rock, arkansas, united states",united states,3833
openreach,2006,telecommunications,"london, london, united kingdom",united kingdom,3832
krajowy fundusz kapitałowy sa,2005,financial services,"warsaw, mazowieckie, poland",poland,3823
gfi informatique,1995,information technology and services,"paris, île-de-france, france",france,3822
stellenbosch university,1918,higher education,"cape town, western cape, south africa",south africa,3821
truenewsworldwide,,online media,,,3819
mgm resorts international,2000,hospitality,"las vegas, nevada, united states",united states,3818
australian taxation office,1910,government administration,"canberra, act, australia",australia,3817
continental airlines,,airlines/aviation,"chicago, illinois, united states",united states,3815
ascom2,,military,,thailand,3815
homeaway.com,2005,internet,"austin, texas, united states",united states,3812
gannett,1906,media production,"mclean, virginia, united states",united states,3811
yara international,1905,chemicals,"akre, hordaland, norway",norway,3811
gap,1969,retail,"san francisco, california, united states",united states,3810
anadarko petroleum corporation,1959,oil & energy,"the woodlands, texas, united states",united states,3804
barclays africa group limited,1991,financial services,"johannesburg, gauteng, south africa",south africa,3802
iberia,,airlines/aviation,"madrid, madrid, spain",spain,3802
upc chello,1998,management consulting,"noord, noord-brabant, netherlands",netherlands,3800
birla sun life insurance,2001,insurance,"bombay, maharashtra, india",india,3800
alliedbarton security services,1957,security and investigations,"conshohocken, pennsylvania, united states",united states,3799
"hyundai engineering & construction co.,ltd.",1947,construction,"seoul, seoul-t'ukpyolsi, south korea",south korea,3795
school district of palm beach county,,education management,"west palm beach, florida, united states",united states,3794
st. joseph hospital,1929,hospital & health care,"orange, california, united states",united states,3794
usi insurance services,1994,insurance,"valhalla, new york, united states",united states,3794
csra inc,2015,information technology and services,"falls church, virginia, united states",united states,3793
keysight technologies,2014,electrical/electronic manufacturing,"santa rosa, california, united states",united states,3792
privado,,human resources,,,3790
south african breweries,1895,food & beverages,"sandton, gauteng, south africa",south africa,3789
portland state university,1946,higher education,"portland, oregon, united states",united states,3787
majid al futtaim,1992,retail,"dubai, dubai, united arab emirates",united arab emirates,3786
columbia university medical center,,hospital & health care,"new york, new york, united states",united states,3782
ieee,1884,non-profit organization management,"piscataway, new jersey, united states",united states,3781
air national guard,1947,military,,,3781
national guard health affairs,,hospital & health care,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,3781
rescare,1974,hospital & health care,"louisville, kentucky, united states",united states,3780
norfolk southern corporation,1980,transportation/trucking/railroad,"norfolk, virginia, united states",united states,3780
thomas jefferson university hospitals,,hospital & health care,"philadelphia, pennsylvania, united states",united states,3780
nec,1899,information technology and services,"tokyo, tokyo, japan",japan,3778
doterra,,"health, wellness and fitness","herriman, utah, united states",united states,3777
weg,1961,electrical/electronic manufacturing,"jaraguá do sul, santa catarina, brazil",brazil,3776
inserm,1964,research,"paris, île-de-france, france",france,3774
vector marketing,1981,consumer goods,"olean, new york, united states",united states,3774
linklaters,1838,legal services,"london, greater london, united kingdom",united kingdom,3773
mango,1984,retail,"barcelona, catalonia, spain",spain,3772
lazada group,2012,internet,"kuala lumpur, kuala lumpur, malaysia",singapore,3771
karolinska university hospital,,hospital & health care,"huddinge, stockholm, sweden",sweden,3769
university of milan,1924,higher education,"milano, lombardy, italy",italy,3769
tdsb,,primary/secondary education,,,3767
brown brothers harriman,1818,financial services,"new york, new york, united states",united states,3766
university of technology sydney,1988,higher education,"ultimo, new south wales, australia",australia,3765
university of rochester medical center,,hospital & health care,"rochester, new york, united states",united states,3765
bnp paribas corporate and institutional banking,,financial services,"paris, île-de-france, france",france,3764
eth zurich,,research,"basel, basel-city, switzerland",switzerland,3763
guardian life,1860,financial services,"new york, new york, united states",united states,3763
bank alfalah limited,1997,banking,"karachi, sindh, pakistan",pakistan,3762
universidad central de venezuela,,higher education,,,3762
carlsberg group,1847,food & beverages,"copenhagen, capital region, denmark",denmark,3761
easyjet,1995,airlines/aviation,,,3760
hudson's bay company,,retail,"new york, new york, united states",united states,3759
royal lepage,1913,real estate,"toronto, ontario, canada",canada,3757
simplexgrinnell,,public safety,"westminster, massachusetts, united states",united states,3757
total quality logistics,1997,logistics and supply chain,"cincinnati, ohio, united states",united states,3756
htc,1997,wireless,"taoyuan, taiwan, taiwan",taiwan,3755
bimbo bakeries usa,,food production,"horsham, pennsylvania, united states",united states,3754
tgi fridays,1965,restaurants,"dallas, texas, united states",united states,3754
us census bureau,1902,government administration,"washington, district of columbia, united states",united states,3751
texas department of family and protective services,,individual & family services,"austin, texas, united states",united states,3748
abu dhabi commercial bank,1985,banking,"abu dhabi, abu dhabi, united arab emirates",united arab emirates,3746
olive garden,1982,restaurants,"orlando, florida, united states",united states,3745
tulane university,1834,higher education,"new orleans, louisiana, united states",united states,3745
ucsf medical center,,hospital & health care,"san francisco, california, united states",united states,3744
amey,1921,civil engineering,"oxford, oxfordshire, united kingdom",united kingdom,3744
white & case llp,1901,law practice,"new york, new york, united states",united states,3744
hollister co.,,retail,"new albany, ohio, united states",united states,3743
sika,1910,chemicals,"baar, zug, switzerland",switzerland,3742
tetra tech,1966,renewables & environment,"pasadena, california, united states",united states,3740
axa advisors,,financial services,"new york, new york, united states",united states,3740
first student,1999,transportation/trucking/railroad,"cincinnati, ohio, united states",united states,3738
self-emplyed,,arts and crafts,,,3737
west corporation,1986,telecommunications,"omaha, nebraska, united states",united states,3736
profissional liberal,,management consulting,,,3735
"university of california, riverside",1907,higher education,"riverside, california, united states",united states,3729
dun & bradstreet,1841,information services,"short hills, new jersey, united states",united states,3729
telefónica uk,2001,telecommunications,"berks, west berkshire, united kingdom",united kingdom,3729
hud,1965,government administration,"washington, district of columbia, united states",united states,3729
synechron,2001,computer software,"new york, new york, united states",united states,3728
informatica,1993,computer software,"redwood city, california, united states",united states,3728
sapientrazorfish,1990,marketing and advertising,"new york, new york, united states",united states,3728
clifford chance llp,,law practice,"london, greater london, united kingdom",united kingdom,3728
oxfam,1942,non-profit organization management,"oxford, oxfordshire, united kingdom",united kingdom,3727
prada,1913,apparel & fashion,"milan, milan, italy",italy,3727
boston college,1863,higher education,"chestnut hill, massachusetts, united states",united states,3726
hd supply,2007,wholesale,"atlanta, georgia, united states",united states,3723
worldpay,1993,information technology and services,"london, greater london, united kingdom",united kingdom,3723
ica,,retail,"a, vastra gotaland, sweden",sweden,3721
disneyland resort,1992,entertainment,,,3721
adient,2016,automotive,"plymouth, michigan, united states",united states,3720
pwc uk,1849,accounting,"london, london, united kingdom",united kingdom,3718
prudential assurance,,financial services,,,3717
singtel,,telecommunications,,singapore,3717
volvo construction equipment,1832,machinery,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,3716
wsp in the uk,1959,civil engineering,"london, greater london, united kingdom",united kingdom,3713
vodafoneziggo,2007,telecommunications,"utrecht, utrecht, netherlands",netherlands,3713
jones day®,1893,law practice,"washington, district of columbia, united states",united states,3713
partners healthcare,1994,hospital & health care,"somerville, massachusetts, united states",united states,3712
gauteng provincial government,2009,government administration,"johannesburg, gauteng, south africa",south africa,3711
my helper wears a fur suit,,publishing,,,3711
unc charlotte,1946,higher education,"charlotte, north carolina, united states",united states,3710
first citizens bank,1898,banking,"raleigh, north carolina, united states",united states,3709
johns hopkins school of medicine,1889,hospital & health care,"baltimore, maryland, united states",united states,3708
alitalia compagnia aerea italiana spa,1946,airlines/aviation,"rome, lazio, italy",italy,3705
interior health authority,2001,hospital & health care,"kelowna, british columbia, canada",canada,3704
coloplast,1954,medical devices,"denmark, western australia, australia",australia,3704
service corporation international,,individual & family services,"houston, texas, united states",united states,3702
depaul university,1898,higher education,"chicago, illinois, united states",united states,3702
ils world,,logistics and supply chain,,,3702
fgv,1944,higher education,"virgínia, minas gerais, brazil",brazil,3701
commscope,1976,telecommunications,"hickory, north carolina, united states",united states,3701
tufts university,1852,higher education,"medford, massachusetts, united states",united states,3697
nova southeastern university,1964,higher education,"davie, florida, united states",united states,3696
lawrence livermore national laboratory,1952,research,"livermore, california, united states",united states,3694
selfridges,1909,retail,"london, greater london, united kingdom",united kingdom,3694
hogeschool utrecht,,higher education,"utrecht, utrecht, netherlands",netherlands,3691
natwest,,banking,,,3687
illumina,1998,biotechnology,"san diego, california, united states",united states,3685
etat de vaud,,government administration,"lausanne, vaud, switzerland",switzerland,3685
playstation,1994,entertainment,"san mateo, california, united states",united states,3682
skywest airlines,1972,airlines/aviation,"st george, utah, united states",united states,3677
nbn™ australia,2009,telecommunications,"north sydney, new south wales, australia",australia,3676
vancouver coastal health,2001,hospital & health care,"vancouver, british columbia, canada",canada,3674
"smart communications, inc.",1991,telecommunications,"makati, manila, philippines",philippines,3671
"williams-sonoma, inc.",1956,retail,"san francisco, california, united states",united states,3671
geek squad,1994,information technology and services,,,3670
amedisys home health & hospice,1982,hospital & health care,"baton rouge, louisiana, united states",united states,3670
universal music group,,music,"santa monica, california, united states",united states,3668
groupm,,marketing and advertising,"new york, new york, united states",united states,3668
veterans health administration,,hospital & health care,,,3666
"mettler-toledo international, inc",1946,electrical/electronic manufacturing,"greifensee, zurich, switzerland",switzerland,3665
calgary board of education,,education management,"calgary, alberta, canada",canada,3665
windermere real estate,1972,real estate,"seattle, washington, united states",united states,3658
berkshire hathaway homeservices,,real estate,"oakland, michigan, united states",united states,3658
china telecom,,telecommunications,,,3657
gea group,1881,mechanical or industrial engineering,"jefferson, missouri, united states",united states,3652
panasonic,1918,consumer electronics,"kadoma, ōsaka, japan",japan,3652
corpoelec,,utilities,,,3650
itv,1954,broadcast media,"london, greater london, united kingdom",united kingdom,3649
quest global,1997,outsourcing/offshoring,"saint louis, missouri, united states",singapore,3649
mec,2002,marketing and advertising,"london, london, united kingdom",united kingdom,3647
aegon,1844,financial services,"the hague, zuid-holland, netherlands",netherlands,3647
colruyt group,1925,retail,"halle, sachsen-anhalt, germany",belgium,3646
nh hotel group,1978,hospitality,"madrid, madrid, spain",spain,3646
k-electric,1913,oil & energy,"karachi, sindh, pakistan",pakistan,3645
university of ottawa,1848,higher education,"ottawa, ontario, canada",canada,3643
state of maryland,,government administration,,,3639
levy restaurants,,food & beverages,"chicago, illinois, united states",united states,3639
guilford county schools,1993,education management,"greensboro, north carolina, united states",united states,3637
greenville health system,1912,hospital & health care,"greenville, south carolina, united states",united states,3637
"honda of america mfg., inc.",1979,automotive,,,3635
tcs,,international trade and development,"bordeaux, nouvelle-aquitaine, france",france,3633
clinique,1968,cosmetics,"new york, new york, united states",united states,3633
here technologies,2012,internet,"new york, new york, united states",united states,3633
mcb bank limited,1947,banking,"lahore, punjab, pakistan",pakistan,3633
firstenergy,1997,utilities,"akron, ohio, united states",united states,3632
cuenta propia,2008,writing and editing,,,3632
pt bank rakyat indonesia (persero) tbk,1895,banking,"jakarta, jakarta raya, indonesia",indonesia,3632
comisión federal de electricidad,1937,renewables & environment,"mexico, distrito federal, mexico",mexico,3630
chs,,farming,"inver grove heights, minnesota, united states",united states,3629
red robin,,restaurants,"greenwood village, colorado, united states",united states,3629
prudential indonesia (pt prudential life assurance),1995,insurance,"jakarta, jakarta raya, indonesia",indonesia,3627
fmc corporation,,chemicals,"philadelphia, pennsylvania, united states",united states,3625
e*trade,1982,financial services,,,3624
atento brasil,1999,outsourcing/offshoring,"sao paulo, sao paulo, brazil",brazil,3623
conicet,,research,,,3622
firmenich,1895,chemicals,"satigny, geneva, switzerland",switzerland,3618
mcgraw-hill education,1916,education management,"new york, new york, united states",united states,3618
university of chicago medicine,1927,hospital & health care,"chicago, illinois, united states",united states,3614
indosat,1967,telecommunications,"jakarta, jakarta raya, indonesia",indonesia,3613
tsys,1983,financial services,"columbus, georgia, united states",united states,3612
concur,1993,computer software,"bellevue, washington, united states",united states,3610
wageningen university & research,1918,research,"wageningen, gelderland, netherlands",netherlands,3609
milwaukee public schools,1846,primary/secondary education,"milwaukee, wisconsin, united states",united states,3609
bc public service,,government administration,,,3609
alibaba group,1999,information technology and services,"london, london, united kingdom",united kingdom,3605
prince george's county public schools,,primary/secondary education,"upper marlboro, maryland, united states",united states,3605
westjet,1996,airlines/aviation,"calgary, alberta, canada",canada,3604
lidl,1973,retail,"neckarsulm, baden-wurttemberg, germany",germany,3603
université catholique de louvain,,research,,,3601
bank danamon indonesia,1956,banking,"jakarta, jakarta raya, indonesia",indonesia,3599
fedex freight,2001,transportation/trucking/railroad,"memphis, tennessee, united states",united states,3598
erm: environmental resources management,1971,environmental services,"london, greater london, united kingdom",united kingdom,3597
the mount sinai hospital,,hospital & health care,"new york, new york, united states",united states,3597
"perkinelmer, inc.",,biotechnology,"waltham, massachusetts, united states",united states,3594
university of utah hospitals and clinics,,hospital & health care,"salt lake city, utah, united states",united states,3590
uitm,,higher education,,,3589
gnc,,retail,"pittsburgh, pennsylvania, united states",united states,3589
weyerhaeuser,1900,paper & forest products,"federal way, washington, united states",united states,3589
bunnings,1886,retail,,,3587
macquarie university,,higher education,"ryde, new south wales, australia",australia,3587
utah state university,1888,higher education,"logan, utah, united states",united states,3586
protiviti,2002,management consulting,"menlo park, california, united states",united states,3585
sungard,1982,information technology and services,"wayne, pennsylvania, united states",united states,3584
spacex,2002,aviation & aerospace,"hawthorne, california, united states",united states,3583
veritas technologies llc,2016,computer software,"mountain view, california, united states",united states,3582
hilton garden inn,1996,hospitality,,,3580
xx,,accounting,,,3580
gemeente den haag,,government administration,"the hague, zuid-holland, netherlands",netherlands,3577
cuadros roma lifestyle,,design,,,3576
south african police service (saps),,law enforcement,,,3576
suzlon wind energy a/s,1995,renewables & environment,"pune, maharashtra, india",india,3574
ge digital,2011,computer software,"san ramon, california, united states",united states,3573
law firm,,legal services,,,3573
dental practice,,medical practice,"riverside, california, united states",united states,3572
huntsman,1970,chemicals,"the woodlands, texas, united states",united states,3570
banorte,1899,banking,"mexico, missouri, united states",united states,3569
the university of texas at arlington,1895,higher education,"arlington, texas, united states",united states,3569
latham & watkins,1934,law practice,"los angeles, california, united states",united states,3568
johnson matthey,1817,chemicals,"london, greater london, united kingdom",united kingdom,3568
servinteg,,real estate,,,3568
florida blue,,"health, wellness and fitness","jacksonville, florida, united states",united states,3564
duke university medical center,,hospital & health care,,,3564
safran,2005,aviation & aerospace,"paris, île-de-france, france",france,3562
vail resorts,,"leisure, travel & tourism","broomfield, colorado, united states",united states,3562
sep,,executive office,,,3560
malmö stad,,government administration,"malmö, skåne, sweden",sweden,3560
florida power & light,,utilities,"juno beach, florida, united states",united states,3559
old mutual south africa,1845,financial services,"johannesburg, gauteng, south africa",south africa,3556
foot locker,1974,retail,"new york, new york, united states",united states,3556
penske truck leasing,1969,transportation/trucking/railroad,"reading, pennsylvania, united states",united states,3555
consumers energy,1886,utilities,"jackson, michigan, united states",united states,3553
meliá hotels international,1956,hospitality,"palma de mallorca, balearic islands, spain",spain,3553
the new york times,1851,newspapers,"new york, new york, united states",united states,3552
försvarsmakten,,military,"stockholm, stockholms lan, sweden",sweden,3551
médecins sans frontières (msf),1971,medical practice,"geneva, geneve, switzerland",switzerland,3551
stanbic bank,1862,banking,,,3548
leiden university,,higher education,"leiden, south holland, netherlands",netherlands,3546
ascension,1999,hospital & health care,"st. louis, missouri, united states",united states,3545
marriott vacations worldwide corporation,1984,hospitality,"orlando, florida, united states",united states,3543
rentokil initial,1925,environmental services,"west sussex, west sussex, united kingdom",united kingdom,3542
christiana care health system,,hospital & health care,"newark, delaware, united states",united states,3542
mead johnson nutrition,1905,consumer goods,"chesterfield, virginia, united states",united states,3542
microchip technology,1989,semiconductors,"chandler, arizona, united states",united states,3541
architetto libero professionista,,architecture & planning,,,3541
glencore,1974,mining & metals,"baar, zug, switzerland",switzerland,3537
companhia siderúrgica nacional,1941,mining & metals,,,3537
libre ejercicio profesional,,financial services,"chacao, miranda, venezuela",venezuela,3536
liberty university,1971,higher education,"lynchburg, virginia, united states",united states,3536
exelon nuclear,,utilities,,,3535
cbc,1932,broadcast media,"ottawa, ontario, canada",canada,3534
almarai - المراعي,1976,food & beverages,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,3533
the university of texas health science center at houston,,hospital & health care,"houston, texas, united states",united states,3530
boston medical center (bmc),,hospital & health care,"boston, massachusetts, united states",united states,3529
police officer,,law enforcement,,,3528
arkema,2006,chemicals,"santa fe springs, california, united states",united states,3528
fairway independent mortgage corporation,1996,financial services,"madison, wisconsin, united states",united states,3527
bacardi,1862,wine and spirits,"denver, colorado, united states",united states,3527
denizbank,1997,banking,"i̇stanbul, istanbul, turkey",turkey,3526
mobily,2004,telecommunications,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,3525
aramex,1982,logistics and supply chain,"dubai, dubai, united arab emirates",united arab emirates,3525
dentsu aegis network,2013,marketing and advertising,"london, greater london, united kingdom",united kingdom,3523
rgis,1958,retail,"auburn hills, michigan, united states",united states,3523
adnoc,1971,oil & energy,"abu dhabi, abu dhabi, united arab emirates",united arab emirates,3519
academy sports + outdoors,1938,retail,"katy, texas, united states",united states,3517
banca mediolanum,1982,banking,"milano, lombardy, italy",italy,3517
lopes consultoria de imóveis,1935,real estate,"sao paulo, sao paulo, brazil",brazil,3516
unify,2008,telecommunications,"munich, bavaria, germany",germany,3515
cms infosystems pvt. ltd.,2009,outsourcing/offshoring,"bombay, maharashtra, india",india,3514
gvt,1999,telecommunications,"curitiba, parana, brazil",brazil,3512
fdic,1933,banking,"washington, district of columbia, united states",united states,3509
imprenditore di me stesso,,investment banking,,,3508
washington university school of medicine,1891,hospital & health care,"st. louis, missouri, united states",united states,3507
assystem,1966,mechanical or industrial engineering,"paris, île-de-france, france",france,3505
cimb,,financial services,"kuala lumpur, kuala lumpur, malaysia",malaysia,3505
nestlé waters,1992,food & beverages,"paris, île-de-france, france",france,3505
mohawk industries,1878,textiles,"calhoun, georgia, united states",united states,3504
state of wisconsin,,government administration,"madison, wisconsin, united states",united states,3503
army,,government administration,,,3501
"'agromash holding""",,machinery,,,3501
piraeus bank,1916,banking,"athens, attiki, greece",greece,3498
university of manitoba,1877,higher education,"winnipeg, manitoba, canada",canada,3497
care.com,2006,internet,"waltham, massachusetts, united states",united states,3493
anheuser-busch,,food & beverages,"st. louis, missouri, united states",united states,3493
apm terminals,2004,maritime,"the hague, zuid-holland, netherlands",netherlands,3490
origin energy,2000,oil & energy,"sydney, new south wales, australia",australia,3490
club med,1950,"leisure, travel & tourism","paris, île-de-france, france",france,3488
malaysia airlines,1972,airlines/aviation,"sepang, selangor, malaysia",malaysia,3488
no,,consumer services,,,3488
williams lea,1820,marketing and advertising,"london, greater london, united kingdom",united kingdom,3487
ministry of justice uk,2007,government administration,"london, greater london, united kingdom",united kingdom,3487
simon fraser university,1965,higher education,"burnaby, british columbia, canada",canada,3485
slalom consulting,2001,management consulting,"seattle, washington, united states",united states,3484
sonoco,1899,packaging and containers,"hartsville, south carolina, united states",united states,3482
shoprite,1979,retail,"cape town, western cape, south africa",south africa,3481
rbc dominion securities,1901,investment management,"toronto, ontario, canada",canada,3480
kforce inc,1962,staffing and recruiting,"tampa, florida, united states",united states,3480
westin hotels & resorts,,hospitality,"white plains, new york, united states",united states,3477
urban outfitters,1970,apparel & fashion,"philadelphia, pennsylvania, united states",united states,3476
deloitte digital,,information technology and services,"seattle, washington, united states",united states,3473
houghton mifflin harcourt,,education management,"boston, massachusetts, united states",united states,3473
stora enso,,paper & forest products,"helsinki, uusimaa, finland",finland,3472
caliber home loans,2007,financial services,"irving, texas, united states",united states,3471
's heeren loo,1891,hospital & health care,,,3471
abc consultants,1969,human resources,"new delhi, delhi, india",india,3471
usda-ars,1953,research,"washington, district of columbia, united states",united states,3471
dentsply sirona,1899,medical devices,"york, pennsylvania, united states",united states,3471
idexx laboratories,1983,biotechnology,"westbrook, maine, united states",united states,3470
"sears, roebuck and co.",1886,retail,"hoffman estates, illinois, united states",united states,3470
industrial aucions srl,,information technology and services,,,3469
live nation entertainment,,entertainment,,,3469
maison,2010,internet,,,3469
coventry university,1843,higher education,"coventry, coventry, united kingdom",united kingdom,3468
western michigan university,1903,higher education,"kalamazoo, michigan, united states",united states,3465
staples business advantage,1985,business supplies and equipment,"framingham, massachusetts, united states",united states,3465
att,2002,import and export,"inowrocław, kujawsko-pomorskie, poland",poland,3464
apex systems,1995,information technology and services,"glen allen, virginia, united states",united states,3462
st. luke's hospital,1872,hospital & health care,"bethlehem, pennsylvania, united states",united states,3460
boston public schools,,education management,"boston, massachusetts, united states",united states,3458
walmart canada,1994,retail,"mississauga, ontario, canada",canada,3458
biocon,1978,biotechnology,"bangalore, karnataka, india",india,3457
pwgsc,,government administration,,,3454
fti consulting,1982,management consulting,"washington, district of columbia, united states",united states,3451
peacehealth,1891,hospital & health care,"vancouver, washington, united states",united states,3450
the lubrizol corporation,1928,chemicals,"wickliffe, ohio, united states",united states,3449
university of guelph,1964,higher education,"guelph, ontario, canada",canada,3448
ruby tuesday,1972,restaurants,"maryville, tennessee, united states",united states,3448
dell technologies,2016,information technology and services,"round rock, texas, united states",united states,3444
syneos health (previously inc research/inventiv health),2017,pharmaceuticals,"raleigh, north carolina, united states",united states,3444
save the children,1919,non-profit organization management,"london, greater london, united kingdom",united kingdom,3443
ciena,1992,telecommunications,"hanover, maryland, united states",united states,3442
contador independiente,,accounting,,,3442
bancoestado,1855,banking,,,3442
netcare,1994,hospital & health care,"johannesburg, gauteng, south africa",south africa,3441
publicjsc privatbank,,financial services,,,3440
city of seattle,1869,government administration,"seattle, washington, united states",united states,3439
> none <​,,mining & metals,,,3439
airasia,2001,airlines/aviation,"sepang, selangor, malaysia",malaysia,3439
dc government,,government administration,"washington, district of columbia, united states",united states,3439
defense contract management agency (dcma),2000,government administration,"fort lee, virginia, united states",united states,3438
o boticário,,program development,"sao jose dos pinhais, parana, brazil",brazil,3438
dalhousie university,1818,higher education,"halifax, nova scotia, canada",canada,3438
the university of western australia,1911,higher education,"perth, western australia, australia",australia,3435
endesa,1944,utilities,"madrid, madrid, spain",spain,3433
transcom,1995,outsourcing/offshoring,"ase, vasternorrlands lan, sweden",sweden,3432
trend micro,1988,computer software,"lake forest, california, united states",united states,3431
northern illinois university,1895,higher education,"dekalb, illinois, united states",united states,3429
us frontline news,,broadcast media,"carson, california, united states",united states,3429
liebherr group,1949,machinery,"bulle, fribourg, switzerland",switzerland,3428
zydus cadila,1952,pharmaceuticals,"ahmadabad, gujarat, india",india,3428
digicel group,2001,telecommunications,"kingston, saint andrew, jamaica",jamaica,3424
university of wisconsin milwaukee,1956,higher education,"milwaukee, wisconsin, united states",united states,3422
"michaels stores, inc.",1984,retail,"irving, texas, united states",united states,3422
university of warwick,,higher education,"coventry, coventry, united kingdom",united kingdom,3421
