name,year_founded,industry,locality,country,current_employee_estimate
unum,1848,insurance,"chattanooga, tennessee, united states",united states,5259
acs,,information technology and services,,,5259
saudi arabian airlines,1945,airlines/aviation,"jeddah, makkah, saudi arabia",saudi arabia,5253
maybank,1960,banking,"kuala lumpur, kuala lumpur, malaysia",malaysia,5239
ochsner health system,1942,hospital & health care,"new orleans, louisiana, united states",united states,5237
compucom,1987,information technology and services,"dallas, texas, united states",united states,5233
emerson network power,,electrical/electronic manufacturing,"columbus, ohio, united states",united states,5233
navy federal credit union,1933,financial services,"vienna, virginia, united states",united states,5230
hsbc private bank,1999,financial services,,switzerland,5227
stanford health care,1885,hospital & health care,"stanford, california, united states",united states,5223
university of north texas,1890,higher education,"denton, texas, united states",united states,5223
beth israel deaconess medical center,,hospital & health care,"boston, massachusetts, united states",united states,5214
sağlık bakanlığı-turkish ministry of health,1961,government administration,"çankaya, ankara, turkey",turkey,5212
servier,1954,pharmaceuticals,"suresnes, ile-de-france, france",france,5211
ghd,1928,civil engineering,"sydney, new south wales, australia",australia,5209
ntpc,1975,utilities,,,5208
university of notre dame,,higher education,"notre dame, indiana, united states",united states,5204
university of johannesburg,2005,higher education,"johannesburg, gauteng, south africa",south africa,5203
polska akademia rachunkowości,,professional training & coaching,,,5201
chili's,1975,restaurants,"dallas, texas, united states",united states,5200
orbital atk,2015,defense & space,"dulles, virginia, united states",united states,5199
subsea 7,2002,oil & energy,"london, greater london, united kingdom",united kingdom,5199
fmc technologies,2001,oil & energy,"houston, texas, united states",united states,5198
siemens gamesa,1976,renewables & environment,"zamudio, basque country, spain",spain,5195
alten,1988,information technology and services,"france, aquitaine, france",france,5195
robert bosch engineering and business solutions ltd.,1998,information technology and services,"bangalore, karnataka, india",india,5194
toshiba,1875,consumer electronics,"tokyo, tokyo, japan",japan,5190
china unicom,,telecommunications,,,5189
chick-fil-a,1946,restaurants,"atlanta, georgia, united states",united states,5188
givaudan,1895,chemicals,"vernier, geneva, switzerland",switzerland,5184
b&q,1969,retail,"hampshire, hampshire, united kingdom",united kingdom,5184
university of iowa,1847,higher education,"iowa city, iowa, united states",united states,5183
bayer materialscience,2004,chemicals,"leverkusen, north rhine-westphalia, germany",germany,5182
yandex,2000,internet,"moscow, moscow, russia",russia,5182
belk,1888,retail,"charlotte, north carolina, united states",united states,5182
gucci,1921,luxury goods & jewelry,"florence, tuscany, italy",italy,5182
douglas elliman real estate,1911,real estate,"new york, new york, united states",united states,5179
cathay pacific airways,,airlines/aviation,"pleasanton, california, united states",united states,5178
privé,2010,apparel & fashion,,,5174
clariant,1995,chemicals,"muttenz, basel-landschaft, switzerland",switzerland,5173
bajaj allianz general insurance co. ltd.,2001,insurance,"pune, maharashtra, india",india,5172
aurecon,2009,management consulting,"docklands, victoria, australia",australia,5170
u.s. house of representatives,,legislative office,"washington, district of columbia, united states",united states,5169
isagenix,2002,"health, wellness and fitness","chandler, arizona, united states",united states,5168
texas tech university,,higher education,"lubbock, texas, united states",united states,5165
gemeente amsterdam,,government administration,"amsterdam, noord-holland, netherlands",netherlands,5162
kansas state university,1863,higher education,"manhattan, kansas, united states",united states,5162
nestlé nespresso,1986,food & beverages,"lausanne, vaud, switzerland",switzerland,5161
ministero dell'interno,,government administration,,,5161
university of michigan health system,1869,hospital & health care,"ann arbor, michigan, united states",united states,5160
sanlam,1918,financial services,,,5160
mckinsey & company,,management consulting,"new york, new york, united states",united states,5159
university of connecticut,,higher education,"storrs, connecticut, united states",united states,5158
saudi electricity company,2000,utilities,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,5153
non,2012,marketing and advertising,,,5151
inova health system,,hospital & health care,"falls church, virginia, united states",united states,5146
united overseas bank limited (uob),1935,banking,,singapore,5145
national university of singapore,1905,higher education,"rochelle, illinois, united states",singapore,5144
